No,GMT Date,GMT Time,LMT Date,LMT Time,ECEF X,ECEF Y,ECEF Z,Latitude,Longitude,Height,DOP,Nav,Validated,Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Main,Bkup,Temp,Clockoffset,Pseudo01,Pseudo02,Pseudo03,Pseudo04,Pseudo05,Pseudo06,Pseudo07,Pseudo08,Pseudo09,Pseudo10,Pseudo11,Pseudo12   Remarks
,mm/dd/yyyy,hh:mm:ss,mm/dd/yyyy,hh:mm:ss,[m],[m],[m],[?],[?],[m],,,,used,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,No,db,[V],[V],[?C],[s],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m],[m]
-----,-----------,---------,-----------,---------,----------,-----------,----------,------------,--------------,--------,-----,------,----------,-----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,------,------,-----,------------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,--------------------
c,11/28/2008,21:02:54,11/28/2008,15:02:54,-2095727,-4192546,4313401,43.60517269,-116.3545861,1541.88,5.4,3D,Yes,5,2,44,10,41,24,41,29,38,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.56,5,0.995,19480139,21146347,21440829,21643740,19864166,0,0,0,0,0,0,0
c,11/29/2008,1:03:08,11/28/2008,19:03:08,-2095939,-4192275,4313605,43.02047787,-116.222168,1572.25,5.8,3D,No,4,15,41,18,41,22,38,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.58,22,0.993,19914819,19049027,21179359,19941730,0,0,0,0,0,0,0,0
c,11/29/2008,4:03:08,11/28/2008,22:03:08,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,26,0.998,0,0,0,0,0,0,0,0,0,0,0,0
c,11/29/2008,6:03:08,11/29/2008,0:03:08,N/A,N/A,N/A,N/A,N/A,N/A,2.6,No,No,3,14,41,22,44,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.58,9,0.99,20292631,21765605,20711336,0,0,0,0,0,0,0,0,0
c,11/29/2008,8:01:11,11/29/2008,2:01:11,-2095494,-4190737,4315286,43.61166272,-115.959269,1560.09,2.4,3D,Yes,5,11,35,14,32,16,35,20,41,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,6,0.008,25759451,26386733,25615518,22920117,23378011,22665481,0,0,0,0,0,0
c,11/29/2008,10:03:04,11/29/2008,4:03:04,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,7,0.001,0,0,0,0,0,0,0,0,0,0,0,0
c,11/29/2008,12:01:43,11/29/2008,6:01:43,-2093399,-4189339,4317892,42.87767346,-116.1233378,1729,7.6,3D,Yes,5,7,38,13,41,23,38,25,35,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,10,0.004,21623998,21343798,22548531,21776798,22851754,0,0,0,0,0,0,0
c,11/29/2008,14:00:53,11/29/2008,8:00:53,-2092967,-4189318,4318252,42.89568768,-116.1402807,1818.64,2.4,3D,Yes,7,7,41,8,41,10,38,25,41,26,35,27,38,28,41,0,0,0,0,0,0,0,0,0,0,3.44,3.56,13,0.992,19212643,18524604,22508315,20597403,20982277,18989400,19604057,0,0,0,0,0
c,11/29/2008,17:03:09,11/29/2008,11:03:09,N/A,N/A,N/A,N/A,N/A,N/A,5.6,No,No,3,4,38,8,38,17,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.56,18,0.005,24454081,25184199,21797221,0,0,0,0,0,0,0,0,0
c,11/30/2008,1:02:27,11/29/2008,19:02:27,-2091897,-4188842,4319189,43.54704019,-116.4659264,1793.75,3.6,3D,Yes,6,15,41,18,38,21,35,22,35,24,41,29,44,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.56,10,0.002,22708891,21794695,21315239,23868297,22624579,22977447,0,0,0,0,0,0
c,11/30/2008,4:01:12,11/29/2008,22:01:12,-2092414,-4187966,4319706,43.4669927,-116.1772081,1740.67,3,3D,Yes,5,3,38,14,41,19,41,21,35,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.54,10,0.003,24139134,22201258,23683455,24489159,21794899,0,0,0,0,0,0,0
c,11/30/2008,6:00:48,11/30/2008,0:00:48,-2092345,-4187509,4320199,43.49244707,-116.1337159,1754.11,1.4,3D,Yes,6,5,41,11,35,12,41,14,38,22,41,31,32,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,6,0.999,24470469,21956177,25151452,20948345,22442999,21297220,22251064,0,0,0,0,0
c,11/30/2008,8:01:23,11/30/2008,2:01:23,-2092617,-4186554,4320993,43.53470165,-115.8722858,1757.9,2,3D,Yes,5,13,38,16,35,23,44,30,41,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.6,15,0.991,22153386,20880843,20041373,21966353,18882896,0,0,0,0,0,0,0
c,11/30/2008,10:01:23,11/30/2008,4:01:23,-2093369,-4186073,4321120,43.39948031,-116.100508,1775.55,4.2,3D,Yes,6,7,41,13,41,16,35,23,41,25,41,27,38,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,10,0.994,21029740,19080805,19433402,18179223,19589767,22531740,0,0,0,0,0,0
c,11/30/2008,12:03:07,11/30/2008,6:03:07,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.58,5,0,0,0,0,0,0,0,0,0,0,0,0,0
c,10/31/2017,4:06:05,10/30/2017,22:06:05,N/A,N/A,N/A,N/A,N/A,N/A,8.8,No,No,4,14,41,22,41,27,32,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,2.04,145,0.010000001,3355467,9106283,9739999,6197549,0,0,0,0,0,0,0,0
c,10/31/2017,10:06:21,10/31/2017,4:06:21,-4187405,-8370830,8643184,42.94695733,-115.7331727,20000,46,1S,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,2,139,1.996,0,0,0,0,0,0,0,0,0,0,0,0
c,11/1/2017,2:04:49,10/31/2017,20:04:49,N/A,N/A,N/A,N/A,N/A,N/A,4.4,No,No,8,13,29,31,32,4,50,10,50,12,44,17,38,20,50,26,41,0,0,0,0,0,0,0,0,1.74,2,135,0.002000001,5612755,2796165,831649,42886208,4834435,2810031,3029005,3608919,0,0,0,0
c,11/1/2017,8:06:09,11/1/2017,2:06:09,-4186749,-8369868,8644742,42.88551913,-116.4704584,20000,46,1S,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,2,119,1.998,0,0,0,0,0,0,0,0,0,0,0,0
c,11/1/2017,12:01:39,11/1/2017,6:01:39,N/A,N/A,N/A,N/A,N/A,N/A,5.6,No,No,5,23,29,28,44,8,44,13,32,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,2.04,127,0.002000001,1734743,42905358,5930247,3026907,292413,2191811,0,0,0,0,0,0
c,12/1/2008,8:01:37,12/1/2008,2:01:37,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,3.6,13,0.001,0,0,0,0,0,0,0,0,0,0,0,0
c,12/1/2008,10:03:05,12/1/2008,4:03:05,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6,3,0.001,0,0,0,0,0,0,0,0,0,0,0,0
c,12/1/2008,12:00:54,12/1/2008,6:00:54,-2099288,-4185051,4319110,43.30388148,-116.6194764,1679.87,5.2,3D,Yes,7,3,41,6,41,7,38,13,38,19,41,23,41,25,38,0,0,0,0,0,0,0,0,0,0,3.42,3.62,4,0,21755767,22847008,20135112,20031396,22459386,21360022,20383944,0,0,0,0,0
c,12/1/2008,14:00:58,12/1/2008,8:00:58,-2100343,-4184234,4319427,42.90632323,-116.0095136,1707.24,2.8,3D,Yes,5,3,35,8,35,19,41,25,38,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.56,14,0.005,26336910,21578172,23934621,23946301,23837880,0,0,0,0,0,0,0
c,12/1/2008,17:03:07,12/1/2008,11:03:07,N/A,N/A,N/A,N/A,N/A,N/A,48.6,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,3.58,21,0,0,0,0,0,0,0,0,0,0,0,0,0
